UF_D,AC,AL,AM,AP,BA,CE,DF,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
MS,0.0010752498032840616,0.0149830643093486,0.004566103906014903,0.000736916891043818,0.013742804813353014,0.009153527420198369,0.031277719062253524,0.13333953502674223,0.002782672335740304,0.02742908078236161,0.0,0.07337198176751267,0.005392933927160923,0.0032860004764155154,0.018679698977880355,0.002237631918213556,0.16223875629752568,0.05953642514849448,0.004023844306944924,0.012341286775417931,0.001029829768490166,0.024134737850575787,0.025484361741594404,0.0024387777865865225,0.3651384809628874,0.0015785779439592732
MT,0.0009821164711237356,0.0069558058054675,0.01296190464604352,0.0010648120420430087,0.013822948318402997,0.009604621669861117,0.038694706936948015,0.13462688394113406,0.011096565376235592,0.027644204876679783,0.09895177762426938,0.0,0.07605702661966453,0.0032191595442389114,0.020462478181587467,0.002379415860161759,0.06853334160698661,0.04422765070680036,0.004773324758525864,0.07873227096548596,0.0011807563476617829,0.03269801255100401,0.025960441547038953,0.0015993493922119167,0.2667513080961899,0.017019116114233377
PA,0.0061192866752257154,0.0015615009935458675,0.13618248511452324,0.0857651173814687,0.011846957381196824,0.061420135341461575,0.03520964466011105,0.013106609302910759,0.2163000529916303,0.022892224597124887,0.0030115050509451294,0.01847425194926433,0.0,0.0014940589443645062,0.021240446766678935,0.0018013553781344174,0.016653291160355594,0.045862777480303096,0.004581164356891969,0.023896818745447117,0.007378930109935652,0.01573684922098384,0.022872653134366556,0.0011633753483784779,0.12015129091556306,0.10527721699918852
PB,0.002620924828919249,0.00030667887287083925,0.0019446585964348346,0.0006770525885686989,0.025649375027747858,0.059978622137219044,0.041062728365236806,0.003382903874590642,0.016239064037684513,0.015745994231706886,0.0027860596066189318,0.009963930214530856,0.009286091269877872,0.0,0.23121424483235578,0.00828663268675265,0.016934190545626036,0.05407613520405608,0.3596987590259032,0.002550152781333671,0.0010828123280593478,0.012259291353990728,0.005941706572851439,0.0011299936931164,0.11643495904387768,0.000747038280069993
PE,0.00045923792508450746,0.11537596566768753,0.009631490818602404,0.0030390570317947348,0.1549570567774724,0.06699272303640355,0.026301174220751327,0.004482922333132424,0.011464119862866893,0.011151855680011794,0.002596895443314436,0.0034263623713874486,0.011545908091481438,0.2445865903172556,0.0,0.09860520381835437,0.010802555801948563,0.03681625526079524,0.01387578803006402,0.004474987453392128,0.0005316478860328766,0.009705340413624605,0.007338184215179578,0.027526651862196952,0.12335554061561461,0.000956485065550551
PI,0.00022900193117765514,0.0007820527115702932,0.002319478298068823,0.0006264203311582945,0.03386565801779775,0.05307845803294337,0.023853441447789003,0.0016874996676100997,0.6772071009196107,0.005414339348547424,0.0012306074651148749,0.006571030106324409,0.04758856918069916,0.0006764450248621513,0.029405652639060482,0.0,0.005061387342970213,0.016630987336812182,0.0006486535283600086,0.0008565339221960354,0.005969066292087999,0.005694477633289022,0.003044280526844702,0.0007859435210805932,0.06626715591956894,0.01050575885445557
PR,0.0009626032324236832,0.0057960465139023825,0.0063113465840490554,0.0012337211398071781,0.02771666152765009,0.014141454211554034,0.02755572737031958,0.0077475084129786775,0.01483990753905685,0.03459605749431748,0.07832447358648442,0.034641183009090144,0.007559431586499067,0.002826089974977622,0.01455306865041275,0.004293676255603446,0.0,0.08023430988015871,0.005945741392718167,0.006972087767784429,0.0018181508010874931,0.05832359103496796,0.17766848225855256,0.006456787697637756,0.37437082226384427,0.005111069814122227
RJ,0.00305511695280401,0.008903633419076764,0.013068036320991407,0.0013641229376213945,0.04906572619458445,0.031071490858748524,0.07447727822668183,0.017214343029788436,0.013148036801907332,0.25417878426095086,0.010082784399387682,0.007704751685623294,0.020297697273889196,0.017570172535108633,0.031119999049476557,0.010532007658462333,0.06119875880661259,0.0,0.01630685829989144,0.004170921372392161,0.0027982918966165666,0.05269168050612384,0.040246787704007456,0.008786170796479406,0.24532897035941523,0.005617578653358392
RN,0.0019613114202944003,0.0018230285939516693,0.0056834241626862415,0.003279607698095102,0.02970776052596336,0.23571144968940588,0.041460648408209295,0.009965582351766143,0.0029131582082868646,0.028642982763124332,0.0049597440381592825,0.016857846869830835,0.009079419906286475,0.2846821877425691,0.01331087439237404,0.0015038257364771988,0.02964553325410913,0.08112707714462167,0.0,0.0032162280693546832,0.0014070277580372872,0.016199833106050925,0.010639711130186955,0.0031159730202562036,0.15164325208121113,0.011462511928691951
RO,0.03929374704452276,0.006362261627567113,0.17353447213110804,0.0019908852980323297,0.009504431868003657,0.022745182719985796,0.02825615581992069,0.015179039375996,0.004353844071528627,0.021490652258212,0.008224577033554302,0.41107173010498793,0.014725148696503307,0.006679790300345263,0.018104978434356624,0.0032512598458081785,0.04146573821322522,0.02664903216935643,0.005431103924573517,0.0,0.004601243712282156,0.01242452684036223,0.014588786689788765,0.0018233548326401768,0.10676755520015258,0.0014805017871864683
RR,0.0018020032973706263,0.005080223985242613,0.29721871402545563,0.004123227883814144,0.015902424579056034,0.049244575985207456,0.10221532828023214,0.015617361910545425,0.03253786744856792,0.021257530423219588,0.008185370910090303,0.013000893846001636,0.053367803869021596,0.014405845569375344,0.022957725624693573,0.018376361309344523,0.04133408693403809,0.06402711150940038,0.013866262661123124,0.023599116628842436,0.0,0.02993158019361379,0.018182925927140894,0.002148150823419221,0.1270666844886033,0.004550821886580056
RS,0.0006413162096734745,0.009005575967920974,0.006643067907749763,0.0009356479734195872,0.02793798122111918,0.01480489281959855,0.041952741463198696,0.012905466734387888,0.008282500934984692,0.03341058471186949,0.00857585159285165,0.012636648826668852,0.015750035022854783,0.005124643042112874,0.01639951690851638,0.009357144011120134,0.10563933884107052,0.08924794168002055,0.007646417290000037,0.002174130628204619,0.001418025030670161,0.0,0.2735572652148974,0.004972249698720077,0.28832581672408664,0.0026551995442829876
SC,0.0008215806678809986,0.0031128811136552042,0.006557728784108177,0.0014314046951262396,0.019600660056421908,0.007728532420109472,0.025527789495426684,0.013479016696161564,0.005585817164618483,0.03106857362963945,0.008010489196207475,0.011541618923273085,0.012350910802164048,0.0023731952791692496,0.009474647260710954,0.0017715607352635132,0.1621075776378014,0.07278522136196015,0.00284643042357347,0.0023056320416183383,0.0012287149824735048,0.3305812995179145,0.0,0.0023515516446291312,0.26384883812788484,0.0015083273422080133
SE,0.0002823921270599975,0.2092659813457079,0.0014723566393532819,0.0002619880716365873,0.5518253439812206,0.005155696724387295,0.022813366287806506,0.0019228781831021797,0.0015433627522267496,0.009188354238270092,0.0019914358093248378,0.00901860523281799,0.0017539326041963428,0.0010528492598479676,0.026256780152402556,0.0012120008921505674,0.008008183672580046,0.03243428650105289,0.002188130903606513,0.0008080005947670449,0.00022362844744057607,0.004693748909601288,0.0055548000484692,0.0,0.10072094686768837,0.0003509497532826559
SP,0.0027958477313086406,0.01295902729876574,0.010827902919551555,0.0029708442335051816,0.08089979632597026,0.03288494271663921,0.03881799873481309,0.041454253667684175,0.01516569162385939,0.2631652104136469,0.04960244160703915,0.028844609035503125,0.020555622882217198,0.012762514148802662,0.03611264352418866,0.011436267054720122,0.10324205687208828,0.08055525034976056,0.011366700597626163,0.0072939789473684315,0.00192526481176785,0.05918916660066978,0.054141506701335426,0.009751281470078163,0.0,0.01127917973109032
TO,0.00046335771608129313,0.0013713627416562738,0.001418689064201394,0.010422814255772022,0.0031961776900239322,0.002204526140880832,0.015023355877695134,0.14892735541848048,0.21237778338809557,0.010252202197855692,0.001767583116452629,0.13269222556119983,0.3337755098689714,0.0010389778716882203,0.004371631468586453,0.0007010899409591062,0.014141765543773244,0.014006390249051157,0.0009322184929236468,0.0008089499318758919,0.0004347418001237786,0.018784164776127328,0.0057209819671984845,0.0004875711834299593,0.06467857373689614,0.0
